Código Unico,Tipo de Sitio HISPAM,Nombre Sitio,Departamento,Provincia,Distrito,Direccion,TIPO DE ZONA,Zona,L/R,Atención Incidencias,Latitud,Longitud,Observación,nueva segmentación comercial,"Nemónico 
(Código único)"
IC00067,B_1,EL CARMEN 2,ICA,ICA,SAN JUAN BAUTISTA,"CENTRO POBLADO EL CARMEN MZ. F, LOTE 3",URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-13.9711,-75.7301,,Abandonar,IC00067
LI00179,P_1,EL CERCADO CT,LIMA,LIMA,LIMA,AV NICOLAS DE PIEROLA 1035 - 1045,URBANO LIMA,Zona 1,LIMA,FEE,-12.05231,-77.03419,,Black,LI00179
LA00280,B_2,EL CEREZO,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,UC N° 31026 SECTOR: PIÑA ALAMO,NO URBANO,Zona 1,REGIONES,FEE,-6.55064,-79.82668,Sitio_FITEL,Abandonar,LA00280
PI00122,D_2,EL CHORRO P,PIURA,MORROPON,MORROPON,CASERÍO PAMPA HACIENDA,NO URBANO,Zona 1,REGIONES,FEE,-5.1961,-79.95484,,Abandonar,PI00122
LA00049,B_2,EL CORREGIDOR,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,"LOS LIBERTADORES 291, URB LATINA",URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.7599,-79.8344,,Clásico,LA00049
LI00476,B_2,EL CUBO,LIMA,LIMA,SANTIAGO DE SURCO,CALLE MANUEL OLGUIN 373,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.088665,-76.973418,,Black,LI00476
PU00108,B_3,EL DORADO,PUNO,SAN ANTONIO DE PUTINA,ANANEA,CERRO LUNAR,NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-14.62216,-69.45114,,Abandonar,PU00108
AR00745,P_3,EL FISCAL - VENTILLATA,AREQUIPA,ISLAY,COCACHACRA,PANA SUR 1042 EL FISCAL ,NO URBANO,Zona 3,REGIONES,FEE,-17.0278903,-71.6842808,,Abandonar,AR00745
LI00712,B_2,EL GOLF,LIMA,LIMA,SAN ISIDRO,AV. CAMINO REAL 725- SAN ISIDRO,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.10125,-77.03801944,,Black,LI00712
LA00283,B_2,EL HORCON,LAMBAYEQUE,LAMBAYEQUE,TUCUME,HORCON CHICO,NO URBANO,Zona 1,REGIONES,FEE,-6.50012,-79.87836,Sitio_FITEL,Abandonar,LA00283
LI00429,B_2,EL INTI,LIMA,LIMA,EL AGUSTINO,"JR. LAS ESMERALDAS LOTE 12, MZ H, URB. HUANCAYO",URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.0308776,-76.9997476,,Oro,LI00429
LI04491,B_1,EL MAESTRO,LIMA,LIMA,INDEPENDENCIA,CA 23 MZ LL LT 6 URB CARABAYLLO 1° SECTOR,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-11.9702266,-77.0593283,,Clásico,LI04491
LA00284,B_2,EL MARCO,LAMBAYEQUE,LAMBAYEQUE,JAYANCA,Centro Poblado Rural El Marco,NO URBANO,Zona 1,REGIONES,FEE,-6.40947,-79.74239,Sitio_FITEL,Abandonar,LA00284
LA00285,D_2,EL MILAGRO_LA,LAMBAYEQUE,LAMBAYEQUE,OLMOS,Comunidad Campesina Santo Domingo de Olmos - Caserío Ficuar - Anexo Alto de Chuye,NO URBANO,Zona 1,REGIONES,FEE,-5.932185,-80.128165,Sitio_FITEL,Oro,LA00285
LL00089,B_2,EL MILAGRO_LL,LA LIBERTAD,TRUJILLO,HUANCHACO,"AV. MIGUEL GRAU MZ. 59, LOTE 03, SECTOR III DEL CENTRO POBLADO EL MILAGRO, DISTRITO DE HUANCHACO, TRUJILLO
ALTURA DEL KM. 57.5 DE LA PANAMERICANA NORTE",URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.022961,-79.063796,,Clásico,LL00089
CA00486,B_3,EL MONTON,CAJAMARCA,SAN PABLO,SAN PABLO,C° MONTON 1- EL CAMPANARIO,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-7.09569444,-77.19516667,,Abandonar,CA00486
LA00286,B_1,EL MUERTO,LAMBAYEQUE,LAMBAYEQUE,OLMOS,Comunidad Campesina Santo Domingo de Olmos - Caserío El Muerto,NO URBANO,Zona 1,REGIONES,FEE,-6.046449,-79.831519,Sitio_FITEL,Oro,LA00286
LI04494,B_1,EL PACIFICO_LI,LIMA,LIMA,SAN MARTIN DE PORRES,JR. RICARDO LEON VELARDE MZ. G LT. 9 URB EL PACIFICO,URBANO LIMA,Zona 3,LIMA,FEE,-12.0046025,-77.0849876,,Oro,LI04494
LI00647,B_2,EL PACIFICO_LI2,LIMA,LIMA,SAN JUAN DE MIRAFLORES,PLAN INTEGRAL PAMPAS DE SAN JUAN MAZ C LOTE 22 PUEBLO JOVEN EL PACIFICO ,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.174581,-76.956624,,Oro,LI00647
